UID,Name,Details,Status,RelavantLink_1,RelavantLink_2,RelevantLink_3,Census_tract,island,Priority_1_Cesspool_Count,Priority_2_Cesspool_Count,Priority_3_Cesspool_Count,Total_Cesspools,W_in_2_miles_service_area,WWTP_Capacity,WWTP_1_Name,WWTP_2_Name,Total_N_load_kg_yr,Flow_rt,Cost_symbol,Collection_Length_ft,Conveyance_Length_ft,New_WWTP_Needed,WWTP_Upgrade_Needed,Neighborhood_Pump_Stations,Regional_Pump_Stations
M-2,Old Wailuku Heights,"Based on a March 2026 meeting with the Maui County Department of Environmental Management, this project area is under evaluation and is in the CIP 5+ years from now, however, steep slope and terrain conditions may pose challenges. A Maui County study will be conducted to determine additional capacity at the Wailuku-Kahului WWTP. A Central Maui Wastewater Reclamation Facility is also planned.
See relevant document(s) below.",Under Evaluation (E),https://go.hawaii.edu/mCw,https://go.hawaii.edu/iXi,,Kamaile St.,Maui,0,0,58,58,"Yes, County",No,Wailuku-Kahului,,2204,26100,(3) - $$$,3380,405,N,Y,0,0
M-3,Waihee,"Based on a March 2026 meeting with Maui County Department of Environmental Management, this project area is being looked at by an in-house study. It is not currently in any plan. A Maui County study will be conducted to determine additional capacity at the Wailuku-Kahului WWTP. A Central Maui Wastewater Reclamation Facility is also planned.
See relevant document(s) below.",Under Evaluation (E),https://go.hawaii.edu/mCw,https://go.hawaii.edu/iXi,,Waihee-Waikapu,Maui,0,79,0,79,"Yes, County",No,Wailuku-Kahului,,3002,35550,(3) - $$$,4089,903,N,Y,1,0
M-4,Wahikuli,"Based on a March 2026 meeting with Maui County Department of Environmental Management, this project area has been studied through an EPA-funded project, however, the project is not currently funded. The Lahaina WWTP has capacity, however NPDES permit discussions may not allow the connection of more homes at this time.
See relevant document(s) below.",Under Evaluation (E),https://go.hawaii.edu/mCw,,,Kahoma,Maui,212,0,0,212,"Yes, County",Yes,Lahaina WWTP,,8056,95400,(1) - $,10316,90,N,N,0,0
M-5,Pakele Place,"Based on a March 2026 meeting with Maui County Department of Environmental Management, this project area has been identified as a potential area to be connected to county sewer. An in-house study has been conducted. A Maui County study will be conducted to determine additional capacity at the Wailuku-Kahului WWTP. A Central Maui Wastewater Reclamation Facility is also planned.
See relevant document(s) below.",Under Evaluation (E),https://go.hawaii.edu/mCw,https://go.hawaii.edu/iXi,,North Wailuku,Maui,0,7,0,7,"Yes, County",Yes,Wailuku-Kahului,,266,3150,(4) - $$$$,473,250,N,N,1,0
M-6,Waikapu-North,"Based on a March 2026 meeting with the Maui County Department of Environmental Management, the county does not have plans for a project in this area. A Maui County study will be conducted to determine additional capacity at the Wailuku-Kahului WWTP. A Central Maui Wastewater Reclamation Facility is also planned.
See relevant document(s) below.",No Active Plans (N),https://go.hawaii.edu/mCw,https://go.hawaii.edu/iXi,,Waihee-Waikapu,Maui,0,8,0,8,"Yes, County",Yes,Wailuku-Kahului,,304,3600,(3) - $$$,857,169,N,N,0,0
M-7,Maui Meadows,"Based on a March 2026 meeting with the Maui County Department of Environmental Management, the county is not planning to implement a project in this area. The Kihei WWTP may have some capacity, but vacant properties may be first in line to be connected. 
See relevant document(s) below.",No Active Plans (N),https://go.hawaii.edu/mCw,https://go.hawaii.edu/iXR,,Kula Makai,Maui,0,616,0,616,"Yes, County & Private",Yes,Kihei WWTP,Makena Resort,23408,277200,(3) - $$$,43613,1575,N,N,9,3
M-8,Kula,"The majority of the Makawao-Pukalani-Kula Community Plan area is served by individual cesspools/septic tanks. It is expected that new developments in the Upcountry area, aside from those in Hāli`imaile, will all be served by septic systems as required by the State Department of Health
See relevant document(s) below.",No Active Plans (N),https://go.hawaii.edu/mCw,https://go.hawaii.edu/iXi,,Kula,Maui,0,0,176,176,No,,,,6688,79200,(5) - $$$$$,25501,5280,Y,N,5,2
M-9,ʻŌmaʻopio,"The majority of the Makawao-Pukalani-Kula Community Plan area is served by individual cesspools/septic tanks. It is expected that new developments in the Upcountry area, aside from those in Hāli`imaile, will all be served by septic systems as required by the State Department of Health
See relevant document(s) below.",No Active Plans (N),https://go.hawaii.edu/mCw,https://go.hawaii.edu/iXi,,Kula,Maui,0,0,209,209,No,,,,7942,94050,(4) - $$$$,17845,5280,Y,N,3,1
Mo-1,Puili and Pano Pl,"Based on an October 2025 meeting with the Maui County Department of Environmental Management, topography prevents county sewer expansion to this area. The closest treatment plant - Kaunakakai WWTP is located in a sea level rise zone and may need to be relocated. 
See relevant document(s) below.",No Active Plans (N),https://go.hawaii.edu/mCw,https://go.hawaii.edu/iXK,,East Molokai,Molokai,281,0,0,281,"Yes, County",No,Kaunakakai Wastewater Treatment Plant,,10678,126450,(4) - $$$$,23812,4078,N,Y,1,0
Mo-2,North Kalae Hwy,"Based on an October 2025 meeting with the Maui County Department of Environmental Management, topography prevents county sewer expansion to this area. If connected to the Kualapuu Collection system this area would be treated by the Molokai Ranch Wastewater treatment plant.
See relevant document(s) below.",No Active Plans (N),https://go.hawaii.edu/mCw,https://go.hawaii.edu/iXK,,West Molokai,Molokai,0,0,100,100,"Yes, Private",No,Molokai Ranch WWTP,,3800,45000,(5) - $$$$$,5849,13509,N,Y,3,1
O-1,Waimanalo Beach,"This project area has been identified in the Six-Year CIP and Budget FY 2026-2031. Relevant document (page 224) : https://go.hawaii.edu/m8T. A study for WWTP capacity is underway.
See relevant document(s) below.",Under Evaluation (E),https://go.hawaii.edu/8Xi,,,Waimanalo Bay Beach Park,Oahu,181,0,0,181,"Yes, County",Yes,Waimanalo Wastewater Treatment Plant,,6878,81450,(2) - $$,11985,18,N,N,0,0
O-10,Waianae,"According to a 10/14/25 meeting with Honolulu ENV, only the subdivision along Piliuka Place was identified through the Waianae Wastewater Facilities Plan as being feasible for a County System. The area that is feasible for a county system will be included in the FY 2027 CIP. A study is being conducted to determine if the Waianae WWTP has capacity for additional homes.
See relevant document(s) below.",Under Evaluation (E),https://go.hawaii.edu/aXi,,,Waianae Kai,Oahu,86,102,0,188,"Yes, County",No,Waianae WWTP,,7144,84600,(2) - $$,3270,89,N,Y,1,0
O-11,Ewa Beach,"According to a 10/14/25 meeting with Honolulu ENV, ENV is trying to find a way to proceed with the project by addressing community concerns.
See relevant document(s) below.",Planned or Underway (P),https://go.hawaii.edu/8Xi,,,Keanui Drive-Hoomahana Street,Oahu,886,0,0,886,"Yes, County",Yes,Honouliuli WWTP,,33668,398700,(1) - $,34501,25,N,N,2,1
O-12,Kaimuki,"This project area will be included in the FY 2027 CIP.
See relevant document(s) below.",Under Evaluation (E),https://go.hawaii.edu/iXb,,,Kaimuki: Kapiolani Community College,Oahu,0,0,58,58,"Yes, County",Yes,Sand Island WWTP/Synagro,,2204,26100,(1) - $,1884,79,N,N,1,0
O-13,Diamond head - West,"According to a 10/14/25 meeting with Honolulu ENV, Project Planning funds are included in Fiscal Year 2025 CIP Budget.  Project title ""Diamond Head Sewers, Improvement District"".  Planning contract in process. Relevant document: https://go.hawaii.edu/m8T
See relevant document(s) below.",Under Evaluation (E),https://go.hawaii.edu/8Xi,,,Kapiolani Park,Oahu,25,0,0,25,"Yes, County",Yes,Sand Island WWTP/Synagro,,950,11250,(4) - $$$$,3593,226,N,N,2,0
O-14,Diamond head - East,"According to a 10/14/25 meeting with Honolulu ENV, Project Planning funds are included in Fiscal Year 2025 CIP Budget.  Project title ""Diamond Head Sewers, Improvement District"".  Planning contract in process. Relevant document: https://go.hawaii.edu/m8T
See relevant document(s) below.",Under Evaluation (E),https://go.hawaii.edu/8Xi,,,Diamond Head,Oahu,0,139,0,139,"Yes, County",Yes,Sand Island WWTP/Synagro,,5282,62550,(3) - $$$,9952,131,N,N,6,2
O-15,Tantalus,"According to a 10/14/25 meeting with Honolulu ENV, an LPSS system is possible but it is very costly so the City will most likely not execute a project in this area unless other regulatory demands on the CIP budget are relaxed.
See relevant document(s) below.",No Active Plans (N),https://go.hawaii.edu/iXb,,,Judd Hillside-Lowrey Avenue,Oahu,74,119,0,193,"Yes, County",Yes,Sand Island WWTP/Synagro,,7334,86850,(4) - $$$$,28345,154,N,N,1,1
O-16,Aiea Heights,"According to a 5/15/25 meeting with Honolulu ENV, City Council was reviewing the budget for upcoming fiscal year. The project is dependent on future appropriations. The project area is shown in Fiscal Year 2025 CIP Budget to start in a future year. Relevant document: https://go.hawaii.edu/m8T
See relevant document(s) below.",Under Evaluation (E),https://go.hawaii.edu/8Xi,,,Aiea Heights,Oahu,0,102,0,102,"Yes, County",Yes,Sand Island WWTP/Synagro,,3876,45900,(3) - $$$,6562,1253,N,N,3,1
O-17,Kahaluu - Kamehameha HWY,"According to a 10/14/25 meeting with Honolulu ENV, Project Planning funds for this project area are included in the Fiscal Year 2024 CIP Budget.  Project title ""Kamehameha Highway Sewers, Improvement District, Kane'ohe"".  Planning contract underway. Relevant document: https://go.hawaii.edu/m8T
See relevant document(s) below.",Under Evaluation (E),https://go.hawaii.edu/8Xi,,,Ahuimanu,Oahu,0,0,20,20,"Yes, County",Yes,Kailua,,760,9000,(2) - $$,1455,6,N,N,0,0
O-18,Kaaawa,"According to a 10/14/25 meeting with Honolulu ENV, this project area is too far away from a City & County of Honolulu system.
See relevant document(s) below.",No Active Plans (N),https://go.hawaii.edu/nXi,,,Kaaawa,Oahu,144,0,0,144,No,,,,5472,64800,(5) - $$$$$,20731,5280,Y,N,0,0
O-19,Hauula,"According to a 10/14/25 meeting with Honolulu ENV, this project area is too far away from a City & County of Honolulu system.
See relevant document(s) below.",No Active Plans (N),https://go.hawaii.edu/nXi,,,Hauula,Oahu,63,0,0,63,No,,,,2394,28350,(4) - $$$$,3214,5280,Y,N,0,0
O-2,Kailua,"This project area has been identified in the Six-Year CIP and Budget FY 2026-2031. Relevant document (page 222) : https://go.hawaii.edu/m8T
See relevant document(s) below.",Under Evaluation (E),https://go.hawaii.edu/8Xi,,,Kalaheo Avenue,Oahu,127,0,0,127,"Yes, County",Yes,Kailua,,4826,57150,(2) - $$,9906,1059,N,N,0,0
O-20,Pupukea,"According to a 10/14/25 meeting with Honolulu ENV, this project area is too far away from a City & County of Honolulu system.
See relevant document(s) below.",No Active Plans (N),https://go.hawaii.edu/iXF,,,Sunset Beach,Oahu,425,0,0,425,No,,,,16150,191250,(4) - $$$$,49514,5280,Y,N,8,3
O-21,Kawailoa,"According to a 10/14/25 meeting with Honolulu ENV, this project area is too far away from a City & County of Honolulu system.
See relevant document(s) below.",No Active Plans (N),https://go.hawaii.edu/iXF,,,Kawailoa,Oahu,70,0,0,70,No,,,,2660,31500,(4) - $$$$,3253,5280,Y,N,1,0
O-22,Waianae Hawaiian Homeland,"DHHL sewer connections are identified as a coordination need in the Waiʻanae Sustainable Communities Plan, but no active sewer project is documented.
See relevant document(s) below.",No Active Plans (N),https://github.com/cshuler/WW_Overlay_2024/blob/main/Document_Archive/Planning_Documents/Oahu_County/UID81_WaianaeSust_Communities_Plan_2012.pdf,,, Lualualei-Camp Waianae,Oahu,0,99,0,99,"Yes, County",No,Waianae WWTP,,3762,44550,(4) - $$$$,11772,6,N,Y,1,0
O-3,Ahuimanu,"Project Planning funds included in the Fiscal Year 2025 CIP Budget.  Project title ""Kahaluu Sewers, Section 3, Improvement District"".  Planning contract in process.
See relevant document(s) below.",Under Evaluation (E),https://go.hawaii.edu/8Xi,,,Kahaluu-Waikane,Oahu,0,101,31,132,"Yes, County",Yes,Kailua,,5016,59400,(3) - $$$,12671,112,N,N,2,1
O-4,Kahaluu,"According to a 10/14/25 meeting with Honolulu ENV, Project Planning funds are included in the Fiscal Year 2025 CIP Budget.  Project title ""Kahaluu Sewers, Section 3, Improvement District"". A planning contract is in process.  Northward expansion may be limited. 
See relevant document(s) below.",Under Evaluation (E),https://go.hawaii.edu/8Xi,https://go.hawaii.edu/m8T,,Kahaluu-Waikane,Oahu,0,224,0,224,"Yes, County",Yes,Kailua,,8512,100800,(3) - $$$,23830,1493,N,N,5,2
O-5,North Hauula,"According to a 10/14/25 meeting with Honolulu ENV, this project area is too far away from a City & County of Honolulu system.
See relevant document(s) below.",No Active Plans (N),https://go.hawaii.edu/nXi,,,Laie,Oahu,360,0,0,360,"Yes, Private",Unknown,Laie WWTP (BYU-Hawaii),,13680,162000,(4) - $$$$,30581,9713,N,Y,2,1
O-6,Waialua and Haleiwa,"According to a 10/14/25 meeting with Honolulu ENV, this area is under review through the ""Paalaa Kai Wastewater Facilities Plan"". It has not been determined if a County System is feasible. Therefore, a Private System may be needed.
See relevant document(s) below.",Under Evaluation (E),https://go.hawaii.edu/iXF,,,Haleiwa,Oahu,181,0,0,181,"Yes, County",No,Paalaa Kai WWTP,,6878,81450,(4) - $$$$,12877,6045,N,Y,1,0
O-7,Waialua,"According to a 10/14/25 meeting with Honolulu ENV, this area is under review through the ""Paalaa Kai Wastewater Facilities Plan"". It has not been determined if a County System is feasible. Therefore, a Private System may be needed.
See relevant document(s) below.",Under Evaluation (E),https://go.hawaii.edu/iXF,,,Waialua District Park,Oahu,335,0,0,335,"Yes, County",No,Paalaa Kai WWTP,,12730,150750,(4) - $$$$,39005,7661,N,Y,3,1
O-8,Mokuleia,"According to a 10/14/25 meeting with Honolulu ENV, this area is under review through the ""Paalaa Kai Wastewater Facilities Plan"". It has not been determined if a County System is feasible. Therefore, a Private System may be needed.
See relevant document(s) below.",Under Evaluation (E),https://go.hawaii.edu/iXF,,,Mokuleia,Oahu,396,0,0,396,"Yes, County",No,Paalaa Kai WWTP,,15048,178200,(4) - $$$$,33560,6050,N,Y,0,0
O-9,Makaha,"This project area will be in the FY 2027 CIP.
See relevant document(s) below.",Under Evaluation (E),https://go.hawaii.edu/aXi,,,Makua Valley,Oahu,77,0,0,77,"Yes, County",No,Waianae WWTP,,2926,34650,(4) - $$$$,6905,2404,N,Y,0,0
M-16,Waikapu-South,"This area was removed from project area M-1, and identified by Maui County DEM in email communication as separate but potential future project under evaluation that could be constructed after the new Central Maui plant is constructed, estimated to be completed in 2031.",Under Evaluation (E),https://go.hawaii.edu/mCw,https://go.hawaii.edu/iXi,,Waihee-Waikapu,Maui,0,36,0,36,"Yes, County",No,Wailuku-Kahului,,1368,16200,(2) - $$,2406,45,N,N,0,0
