TMK,Service_Area,Service_Address,Service_City,Service_Zip,Usage_Type,LINKQ
418016009,Eleele WWTP service 96705 & Hanapepe 96716,5117 KAUNALOA ST,HANAPEPE,96716,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=180160090000
418016014,Eleele WWTP service 96705 & Hanapepe 96716,5154 MOI RD,HANAPEPE,96716,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=180160140000
418016050,Eleele WWTP service 96705 & Hanapepe 96716,3524 HAMO PL,HANAPEPE,96716,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=180160500000
418016055,Eleele WWTP service 96705 & Hanapepe 96716,5097 IKAIKA PL,HANAPEPE,96716,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=180160550000
418017010,Eleele WWTP service 96705 & Hanapepe 96716,5135 MOI RD,HANAPEPE,96716,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=180170100000
418017020,Eleele WWTP service 96705 & Hanapepe 96716,5089 MOI RD,HANAPEPE,96716,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=180170200000
418018003,Eleele WWTP service 96705 & Hanapepe 96716,5067 MOI RD,HANAPEPE,96716,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=180180030000
418018013,Eleele WWTP service 96705 & Hanapepe 96716,5019 MOI RD,HANAPEPE,96716,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=180180130000
418018014,Eleele WWTP service 96705 & Hanapepe 96716,5015 MOI RD,HANAPEPE,96716,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=180180140000
419005020,Eleele WWTP service 96705 & Hanapepe 96716,3834 KOULA RD B,HANAPEPE,96716,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=190050200001
419006005,Eleele WWTP service 96705 & Hanapepe 96716,4486 IONA RD,HANAPEPE,96716,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=190060050000
419006036,Eleele WWTP service 96705 & Hanapepe 96716,4479 PEPE RD,HANAPEPE,96716,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=190060360000
419007033,Eleele WWTP service 96705 & Hanapepe 96716,4449 IONA RD D,HANAPEPE,96716,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=190070330000
419007048,Eleele WWTP service 96705 & Hanapepe 96716,4431 IONA RD A,ELEELE,96705,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=190070480000
419008010,Eleele WWTP service 96705 & Hanapepe 96716,4404 PUOLO RD A,HANAPEPE,96716,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=190080100000
419009001,Eleele WWTP service 96705 & Hanapepe 96716,4451 PUOLO RD,HANAPEPE,96716,Commercial,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=190090010000
