TMK,Service_Area,Service_Address,Service_City,Service_Zip,Usage_Type
421005050,Eleele WWTP service 96705 & Hanapepe 96716,4675 MELEMELE RD,ELEELE,96705,Residential
421005055,Eleele WWTP service 96705 & Hanapepe 96716,4735 MELEMELE RD,ELEELE,96705,Residential
421006070,Eleele WWTP service 96705 & Hanapepe 96716,523 AEWA ST,ELEELE,96705,Residential
421007006,Eleele WWTP service 96705 & Hanapepe 96716,4574 PUALEI ST,ELEELE,96705,Residential
421007032,Eleele WWTP service 96705 & Hanapepe 96716,614 LEI'ONI PL,ELEELE,96705,Residential
421007061,Eleele WWTP service 96705 & Hanapepe 96716,4574 ULUPUA ST,ELEELE,96705,Residential
421007072,Eleele WWTP service 96705 & Hanapepe 96716,568 LEIPAPA PL,ELEELE,96705,Residential
421007107,Eleele WWTP service 96705 & Hanapepe 96716,490 LAULE'A ST,ELEELE,96705,Residential
421007112,Eleele WWTP service 96705 & Hanapepe 96716,508 AEWA ST,ELEELE,96705,Residential
421007113,Eleele WWTP service 96705 & Hanapepe 96716,516 AEWA ST,ELEELE,96705,Residential
421007140,Eleele WWTP service 96705 & Hanapepe 96716,519 LAULE'A ST,ELEELE,96705,Residential
421007149,Eleele WWTP service 96705 & Hanapepe 96716,4724 NANEA PL,ELEELE,96705,Residential
421007159,Eleele WWTP service 96705 & Hanapepe 96716,565 AEWA ST,ELEELE,96705,Residential
421008023,Eleele WWTP service 96705 & Hanapepe 96716,674 AEWA ST,ELEELE,96705,Residential
421008035,Eleele WWTP service 96705 & Hanapepe 96716,4670 KULE'A PL,ELEELE,96705,Residential
421008047,Eleele WWTP service 96705 & Hanapepe 96716,4665 KULE'A PL,ELEELE,96705,Residential
421008090,Eleele WWTP service 96705 & Hanapepe 96716,4620 PUALEI ST,ELEELE,96705,Residential
421009010,Eleele WWTP service 96705 & Hanapepe 96716,738 KAUMO'O PL,ELEELE,96705,Residential
421009018,Eleele WWTP service 96705 & Hanapepe 96716,695 AEWA ST,ELEELE,96705,Residential
421009043,Eleele WWTP service 96705 & Hanapepe 96716,831 LAULE'A ST,ELEELE,96705,Residential
421009051,Eleele WWTP service 96705 & Hanapepe 96716,927 'OHI PL,ELEELE,96705,Residential
421009103,Eleele WWTP service 96705 & Hanapepe 96716,780 AKALEI ST,ELEELE,96705,Residential
421009106,Eleele WWTP service 96705 & Hanapepe 96716,800 AKALEI ST,ELEELE,96705,Residential
421009110,Eleele WWTP service 96705 & Hanapepe 96716,830 AKALEI ST,ELEELE,96705,Residential
421009121,Eleele WWTP service 96705 & Hanapepe 96716,4611 PI'AI PL,ELEELE,96705,Residential
421009126,Eleele WWTP service 96705 & Hanapepe 96716,4627 PUAHAU PL,ELEELE,96705,Residential
418008043,Eleele WWTP service 96705 & Hanapepe 96716,3100 LOKOKAI RD,HANAPEPE,96716,Commercial
418008067,Eleele WWTP service 96705 & Hanapepe 96716,3490 HANAPEPE RD,HANAPEPE,96716,Commercial
418012005,Eleele WWTP service 96705 & Hanapepe 96716,3624 AHI RD,HANAPEPE,96716,Residential
418012037,Eleele WWTP service 96705 & Hanapepe 96716,3571 AHI RD,HANAPEPE,96716,Residential
418013031,Eleele WWTP service 96705 & Hanapepe 96716,4884 MOI RD,HANAPEPE,96716,Residential
418013040,Eleele WWTP service 96705 & Hanapepe 96716,4857 MOI RD A,HANAPEPE,96716,Residential
418013040,Eleele WWTP service 96705 & Hanapepe 96716,4857 MOI RD B,HANAPEPE,96716,Residential
418014029,Eleele WWTP service 96705 & Hanapepe 96716,3569 MAKOA ST,HANAPEPE,96716,Residential
418014045,Eleele WWTP service 96705 & Hanapepe 96716,3547 KUPA'A ST,HANAPEPE,96716,Residential
418014047,Eleele WWTP service 96705 & Hanapepe 96716,3535 KUPA'A ST,HANAPEPE,96716,Residential
418014055,Eleele WWTP service 96705 & Hanapepe 96716,3526 KONALE ST,HANAPEPE,96716,Residential
418014063,Eleele WWTP service 96705 & Hanapepe 96716,3580 KONALE ST,HANAPEPE,96716,Residential
418014064,Eleele WWTP service 96705 & Hanapepe 96716,3588 KONALE ST,HANAPEPE,96716,Residential
418014067,Eleele WWTP service 96705 & Hanapepe 96716,3653 'UWAO ST,HANAPEPE,96716,Residential
418014102,Eleele WWTP service 96705 & Hanapepe 96716,4978 ALII RD,HANAPEPE,96716,Residential
418015004,Eleele WWTP service 96705 & Hanapepe 96716,3541 KONALE ST,HANAPEPE,96716,Residential
418015015,Eleele WWTP service 96705 & Hanapepe 96716,3540 'UWAO ST,HANAPEPE,96716,Residential
418015019,Eleele WWTP service 96705 & Hanapepe 96716,3587 'UWAO ST,HANAPEPE,96716,Residential
418015034,Eleele WWTP service 96705 & Hanapepe 96716,3530 MAKA'ALA ST,HANAPEPE,96716,Residential
